time,means,sd,se
1097,64.31601565,13.07243723,4.357479077
1099,64.38627024,13.01271851,4.337572838
1101,64.41214131,13.01430729,4.338102429
1103,64.46916749,13.01366298,4.33788766
1105,64.45052428,13.02322812,4.341076039
1107,64.4666013,13.02990935,4.343303116
1109,64.48690067,12.99747892,4.332492973
1111,64.47688522,13.03185265,4.343950884
1113,64.50688799,13.01225603,4.337418677
1115,64.51314307,12.99131874,4.330439582
1117,64.46537574,13.02955769,4.343185898
1119,64.46285836,13.08326677,4.361088922
1121,64.5212548,13.03981215,4.346604049
1123,64.54829564,13.06030019,4.353433395
1125,64.54919695,13.03768639,4.345895464
1127,64.56679938,13.1133417,4.371113901
1129,64.53680882,13.13047216,4.376824055
1131,64.45523477,13.13526456,4.37842152
1133,64.53169737,13.08022223,4.360074077
1135,64.62330256,13.04348081,4.347826938
1137,64.59277331,13.07925605,4.359752016
1139,64.59072838,13.10042301,4.36680767
1141,64.60832035,13.0962917,4.365430566
1143,64.62655911,13.11455501,4.371518336
1145,64.73079126,13.13410875,4.37803625
1147,64.70783331,13.06239699,4.354132332
1149,64.68022065,13.04310714,4.34770238
1151,64.66539709,13.07032082,4.356773606
1153,64.66900927,13.10890092,4.369633642
1155,64.68640425,13.11994296,4.373314321
1157,64.76551498,13.1185719,4.372857301
1159,64.7640837,13.10609156,4.368697185
1161,64.82416245,13.09607263,4.365357545
1163,64.80605096,13.04205303,4.347351009
1165,64.80035898,13.09035323,4.363451077
1167,64.72695767,13.13689403,4.378964677
1169,64.71749312,13.19967738,4.39989246
1171,64.70919485,13.22626845,4.408756151
1173,64.79523532,13.15997589,4.386658631
1175,64.77220415,13.21715241,4.40571747
1177,64.74509008,13.16307861,4.38769287
1179,64.76983844,13.21657049,4.405523497
1181,64.79926068,13.16714286,4.389047619
1183,64.80261834,13.10929041,4.369763469
1185,64.83294537,13.13954113,4.379847044
1187,64.86488498,13.22583079,4.408610263
1189,64.78150309,13.24064703,4.413549009
1191,64.86570957,13.25786449,4.419288165
1193,64.92525138,13.20842744,4.402809148
1195,64.91776551,13.21445208,4.404817359
1197,64.94634397,13.22468508,4.408228359
1199,64.9573444,13.15636206,4.38545402
